ID	type	x	z	theta	cover	uniqueCode
4	5.0x18.0x30.0	15.08541	37.4083	270	-1	4
5	4.0x18.0x7.0	-19.06648	7.711995	180	-1	5
6	4.0x18.0x7.0	-19.06648	21.74922	180	-1	6
7	4.0x18.0x7.0	-19.06648	35.36512	180	-1	7
8	5.0x25.0x5.	1.2	203.6723	0	-1	8
9	No-table (floor	-10.60076	202.7924	90	0	9
10	3.0x12.0x25.0	21.64158	188.7458	45.59996	-1	19
11	3.0x12.0x25.0	-17.75237	189.5159	-42.80015	-1	20
12	3.0x12.0x25.0	-16.22191	223.1331	45.06036	-1	21
13	3.0x12.0x25.0	21.64963	225.8905	-46.8508	-1	22
16	5.0x18.0x30.0	76.37957	165.4195	0	-1	31
18	30.0x3.0x4.0	138.8251	66.93399	90	0	33
19	5.0x18.0x30.0	-88.63574	134.5217	180	-1	35
21	30.0x3.0x4.0	-89.03852	39.45297	180	0	51
22	5.0x18.0x30.0	-42.49967	312.7615	90	-1	54
23	5.0x18.0x30.0	50.15821	312.7615	90.00001	-1	55
24	30.0x3.0x4.0	-53.02665	380.725	0	0	77
25	30.0x3.0x4.0	138.8812	250.5106	90	0	79
26	5.0x18.0x30.0	111.5235	190.2509	90	-1	82
28	4.0x18.0x7.0	-29.66708	38.35306	90	-1	90
30	5.0x18.0x7.0	76.37957	128.4529	0	-1	94
