id	type	x	y	z	theta	gyokaku
3	spot	30	96	147.4748	28.49088	324.0954
5	spot	-30	96	128.5315	36.22412	200.7596
6	spot	-120	96	55.29878	13.0244	175.0654
7	spot	-120	96	81.64042	13.43142	180.452
8	spot	-120	96	114.697	13.83843	182.2476
9	spot	-120	96	155.8947	14.65245	170.5765
10	spot	-120	96	171.5858	15.05947	195.7141
11	spot	-120	96	195.6726	17.09453	215.4651
13	spot	-90	96	82.40492	24.42076	82.59494
14	spot	120	96	148.3102	25.64179	191.2253
15	spot	120	96	154.4665	19.94362	256.7626
16	spot	120	96	164.0116	13.83843	0
17	spot	120	96	139.6939	13.02441	0
18	spot	90	96	66.82645	41.10828	80.79943
19	spot	60	96	61.49521	38.25918	99.65263
20	spot	30	96	122.6457	46.39944	266.638
21	spot	60	96	307.9971	59.01682	109.1869
23	spot	30	96	280.1703	23.19971	254.0692
24	spot	60	96	268.7533	28.49088	270.2291
25	spot	30	96	346.6971	28.49088	253.1715
26	spot	30	96	337.3584	37.44517	299.8556
27	spot	90	96	344.3003	33.37503	286.389
28	spot	120	96	363.5006	12.61739	0
29	spot	120	96	341.0724	12.61739	0
30	spot	120	96	318.5274	12.61739	0
31	spot	-120	96	243.9355	17.50154	210.0785
32	spot	-120	96	286.0988	13.83843	167.8832
33	spot	-120	96	309.3255	13.0244	173.8265
34	spot	-120	96	332.739	12.21038	175.9631
35	spot	-120	96	354.3081	14.24544	197.5097
40	wid	-90	96	361.9217	54.5397	277.4113
42	wid	-60	96	308.5643	0	0
44	spot	-60	96	290.4791	0	0
45	spot	-30	96	268.8911	30.11893	270.2292
46	spot	-90	96	345.7549	35.81711	237.0116
47	spot	0	96	87.58726	37.44516	279.2068
48	spot	0	96	87.33934	44.77139	267.5358
49	spot	-90	96	134.0536	33.78204	317.811
51	spot	-60	96	126.1203	52.09763	301.6511
52	spot	-30	96	111.6156	30.52594	194.8163
53	spot	-30	96	139.2424	32.154	186.3953
54	spot	60	96	352.7596	26.86283	107.3915
55	spot	-30	96	361.0554	26.04881	110.0848
56	spot	-30	96	294.959	52.91164	84.39051
57	spot	-30	96	94.20912	37.44516	78.10608
58	spot	90	96	80.17149	32.154	5.38038
59	spot	60	96	102.5301	24.81179	299.8555
60	wid	0	96	340.3969	46.44965	265.7402
