ID	data	wallCenter	wallRight	wallUp	wallFront	x	y	z	size	frameTitle	parent	uniqueCode
2	./Images/Virtual Museum_Logo.png	0,48.75,395	1,0,0	0,1,0	0,0,1	-38.51192	31.61099	0.2	20	none(caption)	-1:-1	13
4	./Images/t_hokkaido.png	23.70133,19.104,228.0792	-0.7295752,0,0.6839006	0,1,0	-0.6839006,0,-0.7295752	-1.190745	-5.995502	0.2	4	none(caption)	13:1	24
5	./Images/t_nagasaki.png	23.74058,19.104,186.6024	0.7144716,0,0.6996645	0,1,0	-0.6996645,0,0.7144716	-0.4213839	-5.334	0.2	4	none(caption)	10:1	25
6	./Images/t_osaka.png	-19.95353,19.104,187.4775	0.6794519,0,-0.7337201	0,1,0	0.7337201,0,0.6794519	0.5212085	-5.302502	0.2	4	none(caption)	11:3	26
7	./Images/t_tokyo.png	-18.341,19.104,225.2566	-0.7078509,0,-0.7063619	0,1,0	0.7063619,0,-0.7078509	0.2756115	-4.987502	0.2	4	none(caption)	12:3	27
10	./Images/長崎大/Sub Panel 1.png	71.37957,28.656,165.4195	0,0,-1	0,1,0	1,0,0	-19.7018	-10.476	0.2	2	none(caption)	16:3	35
12	./Images/長崎大/Sub Panel 2.png	71.37957,28.656,165.4195	0,0,-1	0,1,0	1,0,0	4.843483	-6.034502	0.2	1.5	none(caption)	16:3	37
20	./Images/大阪大/Sub Panel 1.png	-83.63574,28.656,134.5217	0,0,1	0,1,0	-1,0,0	-19.83431	-10.4445	0.2	2	none(caption)	19:3	37
21	./Images/大阪大/Sub Panel 2.png	-83.63574,28.656,134.5217	0,0,1	0,1,0	-1,0,0	2.428494	-6.065999	0.2	1.5	none(caption)	19:3	38
22	./Images/大阪大/Sub Panel 3.png	-83.63574,28.656,134.5217	0,0,1	0,1,0	-1,0,0	22.55032	-6.0975	0.2	1.5	none(caption)	19:3	39
23	./Images/大阪大/Sub Panel 4.png	-93.63574,28.656,134.5217	0,0,1	0,1,0	1,0,0	-12.24386	-6.192001	0.2	1.5	none(caption)	19:1	40
24	./Images/大阪大/Sub Panel 5.png	-93.63574,28.656,134.5217	0,0,1	0,1,0	1,0,0	12.37617	-6.097501	0.2	1.5	none(caption)	19:1	41
25	./Images/大阪大/Sub Panel 6.png	-146.25,48.75,200	0,0,1	0,1,0	-1,0,0	-144.0667	-21.75	0.2	1.5	none(caption)	-1:-1	42
26	./Images/大阪大/Sub Panel 7.png	-146.25,48.75,200	0,0,1	0,1,0	-1,0,0	-117.5888	-21.75	0.2	1.5	none(caption)	-1:-1	43
27	./Images/大阪大/Sub Panel 8-A.png	-146.25,48.75,200	0,0,1	0,1,0	-1,0,0	-91.47151	-21.75	0.2	1.5	none(caption)	-1:-1	44
28	./Images/大阪大/Sub Panel 8-B.png	-146.25,48.75,200	0,0,1	0,1,0	-1,0,0	-76.40662	-21.6555	0.2	1.5	none(caption)	-1:-1	45
31	./Images/大阪大/Sub Panel 9.png	-146.25,48.75,200	0,0,1	0,1,0	-1,0,0	-48.31631	-21.435	0.2	1.5	none(caption)	-1:-1	48
32	./Images/大阪大/Sub Panel 10.png	-146.25,48.75,200	0,0,1	0,1,0	-1,0,0	-22.27859	-21.435	0.2	1.5	none(caption)	-1:-1	49
33	./Images/大阪大/Sub Panel 11.png	-146.25,48.75,200	0,0,1	0,1,0	-1,0,0	3.62487	-21.5295	0.2	1.5	none(caption)	-1:-1	50
34	./Images/北大/Sub Panel 1.png	50.15821,28.656,307.7615	-1,0,0	0,1,0	0,0,1	-19.82331	-10.4445	0.2	2	none(caption)	23:1	56
35	./Images/北大/Sub Panel 2.png	50.15821,28.656,307.7615	-1,0,0	0,1,0	0,0,1	3.546593	-6.066001	0.2	1.5	none(caption)	23:1	57
37	./Images/北大/Sub Panel 3.png	50.15821,28.656,307.7615	-1,0,0	0,1,0	0,0,1	18.74409	-6.1605	0.2	1.5	none(caption)	23:1	59
38	./Images/北大/Sub Panel 4.png	0,48.75,395	1,0,0	0,1,0	0,0,1	19.76171	-21.5295	0.2	1.5	none(caption)	-1:-1	60
